"Profit Center","Ergebnisplan Plan/Ist Kämmerer","1 Steuern und ähnliche Abgaben","2 + Zuwendungen und allgemeine Umlagen","3 + Sonstige Transfererträge","4 + Öffentlich-rechtliche Leistungsent-gelte","5 + Privatrecht-liche Leistungs-entgelte","6 + Kostenerstatt-ungen und Kostenumlagen","7 + Sonstige ordentliche Ertäge","8 + Aktivierte Eigenleistungen","10 = Ordentliche Erträge","11 - Personalauf-wendungen","12 - Versorgungsaufwendungen","13 - Aufwendungen für Sach- und Dienstleis-tungen","14 - Bilanzielle Abschreibungen","15 - Transferaufwen-dungen","16 - Sonstige ordentliche Aufwendungen","17 = Ordentliche Aufwendungen","18 = Ergebnis der laufenden Verwaltungs-tätigkeit
(= 10 + 17)","19 + Finanzerträge","20 - Zinsen und ähnliche Finanzaufwen-dungen","21 = Finanzergebnis
(= 19 + 20)","22 = Ordentliches Ergebnis
(= 18 + 21))","23 + Außerordent-liche Erträge","24 - Außerordent-liche Aufwendungen","25 = Außerordent-liches Ergebnis
(= 23 + 24)","26 = Jahresergebnis
(= 22 + 25)","27 + Erträge aus internen Leistungsbe-ziehungen","28 - Aufwendungen aus internen Leistungsbe-ziehungen","29 = Ergebnis
(= 26, 27, 28)"
"Ansatz 2011",,,,,-2.400,,-73.973,-5.762.700,,-5.839.073,2.142.377,212.198,82.343,1.045,,650.750,3.088.713,-2.750.361,,,,-2.750.361,,,,-2.750.361,,548.208,-2.202.153
"Plan 2012",,,-2.754,,-991.680,,-77.000,-4.772.220,,-5.843.654,2.157.422,155.872,72.931,27.597,,616.415,3.030.238,-2.813.416,,,,-2.813.416,,,,-2.813.416,,548.793,-2.264.624
"Plan 2013",,,-2.755,,-1.029.180,,-77.000,-5.425.720,,-6.534.655,2.389.098,239.837,74.953,26.745,,634.143,3.364.776,-3.169.879,,,,-3.169.879,,,,-3.169.879,,562.248,-2.607.631
"Plan 2014",,,-2.753,,-1.066.680,,-77.000,-6.079.220,,-7.225.653,2.470.181,238.388,73.544,27.897,,650.548,3.460.558,-3.765.096,,,,-3.765.096,,,,-3.765.096,,562.860,-3.202.236
"Plan 2015",,,-2.699,,-1.066.680,,-77.000,-6.079.220,,-7.225.599,2.475.744,239.656,73.550,26.751,,650.572,3.466.272,-3.759.327,,,,-3.759.327,,,,-3.759.327,,564.151,-3.195.176
"1210","Ordnungsangelegenheiten",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-27.496,,-6.882.242,-1.714,-77.290,-715.287,,-7.704.029,8.332.976,1.581.733,438.503,37.862,150.000,892.674,11.433.748,3.729.719,-52,,-52,3.729.667,-17,27,10,3.729.677,-181.862,2.823.096,6.370.911
"Ansatz 2010",,,-389,,-1.046.400,,-2.567,-39.500,,-1.088.856,3.352.688,201.235,180.459,4.567,150.000,707.670,4.596.619,3.507.763,,,,3.507.763,,,,3.507.763,-242.516,2.088.086,5.353.333
"Ansatz 2011",,,,,-951.400,,-2.567,-39.500,,-993.467,2.994.917,169.635,180.752,2.265,150.000,444.290,3.941.860,2.948.393,,,,2.948.393,,,,2.948.393,-223.974,2.045.827,4.770.246
"Plan 2012",,,-2.264,,-952.500,,-2.200,-35.200,,-992.164,3.024.670,121.362,188.915,7.924,150.000,463.230,3.956.102,2.963.938,,,,2.963.938,,,,2.963.938,-248.068,2.086.377,4.802.247
"Plan 2013",,,-2.064,,-952.500,,-2.200,-35.200,,-991.964,3.039.343,163.012,184.379,11.182,150.000,462.208,4.010.125,3.018.161,,,,3.018.161,,,,3.018.161,-248.133,2.092.703,4.862.731
"Plan 2014",,,-2.062,,-952.500,,-2.200,-35.200,,-991.962,3.031.714,153.043,188.915,14.710,150.000,463.565,4.001.948,3.009.985,,,,3.009.985,,,,3.009.985,-248.067,2.089.234,4.851.152
"Plan 2015",,,-2.062,,-952.500,,-2.200,-35.200,,-991.962,3.043.778,151.003,184.379,17.393,150.000,461.996,4.008.549,3.016.587,,,,3.016.587,,,,3.016.587,-248.067,2.090.667,4.859.187
"1211","Veterinärwesen",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-338,,-13.493,,-197.958,-103.080,,-314.869,565.727,224.475,23.963,523,,33.220,847.907,533.039,,,,533.039,0,-1,0,533.038,-303,104.874,637.610
"Ansatz 2010",,,,,-14.600,,-165.260,-100,,-179.960,525.686,65.425,23.472,2.250,,33.224,650.057,470.097,,,,470.097,,,,470.097,-337,123.856,593.616
"Ansatz 2011",,,,,-14.600,,-165.260,-100,,-179.960,475.982,69.283,23.585,2.093,,33.122,604.064,424.104,,,,424.104,,,,424.104,-321,111.245,535.028
"Plan 2012",,,,,-15.100,,,,,-15.100,459.583,50.370,25.879,1.827,,31.972,569.631,554.531,,,,554.531,,,,554.531,-6.402,100.944,649.073
"Plan 2013",,,,,-15.100,,,,,-15.100,480.273,73.768,25.879,1.884,,32.290,614.095,598.995,,,,598.995,,,,598.995,-6.407,102.893,695.481
"Plan 2014",,,,,-15.100,,,,,-15.100,482.797,72.872,25.879,1.941,,32.188,615.678,600.578,,,,600.578,,,,600.578,-6.402,102.477,696.653
"Plan 2015",,,,,-15.100,,,,,-15.100,486.150,73.155,25.879,1.997,,32.194,619.376,604.276,,,,604.276,,,,604.276,-6.402,102.783,700.657
"1212","Schlachttier- und Fleischuntersuchung",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-88,,-1.080.143,,-2,-12.917,,-1.093.150,826.998,1.972,37.468,1.383,,213.398,1.081.219,-11.931,,,,-11.931,0,1,0,-11.930,,88.524,76.594
"Ansatz 2010",,,,,-1.057.650,,-1,,,-1.057.651,832.268,796,37.328,7.112,,267.976,1.145.480,87.829,,,,87.829,,,,87.829,,93.332,181.161
"Ansatz 2011",,,,,-1.057.650,,-1,,,-1.057.651,900.551,846,37.360,6.199,,266.878,1.211.833,154.183,,,,154.183,,,,154.183,,93.410,247.593
"Plan 2012",,,-88,,-1.251.000,,,,,-1.251.088,924.597,2.082,56.371,7.315,,258.410,1.248.775,-2.313,,,,-2.313,,,,-2.313,,82.892,80.579
"Plan 2013",,,-88,,-1.251.000,,,,,-1.251.088,937.892,3.048,56.371,7.323,,258.424,1.263.057,11.969,,,,11.969,,,,11.969,,84.827,96.795
"Plan 2014",,,-88,,-1.251.000,,,,,-1.251.088,947.933,3.010,56.371,6.905,,258.419,1.272.639,21.551,,,,21.551,,,,21.551,,84.033,105.584
"Plan 2015",,,-88,,-1.251.000,,,,,-1.251.088,955.386,3.024,56.371,6.510,,258.420,1.279.710,28.622,,,,28.622,,,,28.622,,84.608,113.230
"1213","Straßenverkehrsangelegenheiten",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,,,,,,-80.000,,-80.000,,,,,,,,-80.000,,,,-80.000,,,,-80.000,,2.307,-77.693
"Ansatz 2010",,,-8.242,,-5.297.700,-1.700,-83.189,-400,,-5.391.231,4.829.837,307.530,417.061,22.028,,604.013,6.180.469,789.239,,,,789.239,,,,789.239,-7.621,941.342,1.722.960
"Ansatz 2011",,,-8.000,,-5.297.700,-1.700,-33.188,-400,,-5.340.988,5.232.579,502.284,435.959,3.299,,625.720,6.799.840,1.458.852,,,,1.458.852,,,,1.458.852,-7.507,942.294,2.393.639
"Plan 2012",,,-8.242,,-5.583.000,-1.700,-20.600,,,-5.613.542,5.340.763,369.510,453.510,6.057,,591.778,6.761.618,1.148.076,,,,1.148.076,,,,1.148.076,-8.053,885.882,2.025.905
"Plan 2013",,,-8.241,,-5.583.000,-1.700,-20.600,,,-5.613.541,5.565.514,562.450,465.710,10.432,,604.100,7.208.206,1.594.665,,,,1.594.665,,,,1.594.665,-8.070,906.601,2.493.195
"Plan 2014",,,-8.226,,-5.583.000,-1.700,-20.600,,,-5.613.526,5.640.330,558.167,463.510,34.523,,613.373,7.309.902,1.696.376,,,,1.696.376,,,,1.696.376,-8.053,904.024,2.592.347
"Plan 2015",,,-8.108,,-5.583.000,-1.700,-20.600,,,-5.613.408,5.696.718,563.517,470.210,34.365,,613.427,7.378.237,1.764.829,,,,1.764.829,,,,1.764.829,-8.053,908.293,2.665.069
"2101","Bereitstellung schulischer Einrichtungen",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-2.684.740,,,-179.853,-33.926,-452.073,-23.346,-3.373.939,12.742.329,720.967,38.222.686,15.119.269,6.055.929,3.486.950,76.348.129,72.974.191,,,,72.974.191,8,-20,-12,72.974.179,-140.948,5.482.489,78.315.720
"Ansatz 2010",,,-7.951.731,,-133.100,-158.200,-22.357,-1.600,,-8.266.989,12.184.877,184.747,42.712.132,999.438,15.500,4.810.327,60.907.020,52.640.032,,,,52.640.032,-700,700,,52.640.032,-1.369.126,5.347.820,56.618.726
"Ansatz 2011",,,-10.857.674,,-133.100,-158.200,-22.357,-1.600,,-11.172.932,11.818.550,253.270,48.654.966,690.900,15.500,5.543.008,66.976.194,55.803.262,,,,55.803.262,-700,700,,55.803.262,-1.367.687,5.272.897,59.708.472
"Plan 2012",,,-11.227.938,,-133.100,-158.200,-24.000,-1.600,,-11.544.838,11.573.250,148.314,45.763.735,12.635.318,9.400,6.041.623,76.171.640,64.626.802,,,,64.626.802,-700,700,,64.626.802,-1.318.705,5.310.068,68.618.166
"Plan 2013",,,-12.063.633,,-133.100,-158.200,-24.000,-1.600,,-12.380.533,11.670.140,216.965,41.928.316,12.643.015,9.400,7.683.846,74.151.681,61.771.148,,,,61.771.148,-700,700,,61.771.148,-1.318.880,5.320.514,65.772.782
"Plan 2014",,,-11.261.829,,-133.100,-158.200,-24.000,-1.600,,-11.578.729,11.699.593,214.370,42.362.008,12.645.827,9.400,7.683.575,74.614.772,63.036.042,,,,63.036.042,-700,700,,63.036.042,-1.318.704,5.292.996,67.010.334
"Plan 2015",,,-11.251.049,,-133.100,-158.200,-24.000,-1.600,,-11.567.949,11.687.541,215.147,42.267.475,12.612.458,9.400,7.683.390,74.475.411,62.907.462,,,,62.907.462,-700,700,,62.907.462,-1.318.704,5.310.194,66.898.952
"2102","Zentrale schulbezogene Leistungen",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-5.727.341,,-1.690,-183.973,-15.190,-79.419,,-6.007.614,912.712,183.627,4.050.254,7.593,459.621,115.981,5.729.787,-277.826,,,,-277.826,-8,20,12,-277.814,-12.373,479.279,189.092
"Ansatz 2010",,,-6.146.620,,-2.100,-4.000,-313,-10.100,,-6.163.133,1.188.090,117.635,4.117.759,3.383,7.333.710,358.144,13.118.721,6.955.588,,,,6.955.588,,,,6.955.588,-99.504,1.198.788,8.054.872
"Ansatz 2011",,,-6.147.092,,-2.100,,-313,-10.100,,-6.159.604,1.188.826,161.344,4.312.236,3.941,7.333.710,292.835,13.292.891,7.133.287,,,,7.133.287,,,,7.133.287,-99.324,1.195.056,8.229.019
"Plan 2012",,,-5.731.560,,-2.100,,-100,-10.100,,-5.743.860,1.586.237,162.275,4.454.382,11.735,6.873.710,341.494,13.429.833,7.685.973,,,,7.685.973,,,,7.685.973,-92.153,1.017.116,8.610.936
"Plan 2013",,,-5.732.328,,-2.100,,-100,-10.100,,-5.744.628,1.607.299,237.386,4.544.583,12.068,6.868.137,342.058,13.611.531,7.866.903,,,,7.866.903,,,,7.866.903,-92.156,1.038.628,8.813.375
"Plan 2014",,,-5.732.973,,-2.100,,-100,-10.100,,-5.745.273,1.590.189,234.576,4.544.583,13.161,6.868.137,341.763,13.592.409,7.847.137,,,,7.847.137,,,,7.847.137,-92.153,1.032.059,8.787.042
"Plan 2015",,,-5.733.625,,-2.100,,-100,-10.100,,-5.745.925,1.594.504,235.236,4.544.582,14.063,6.868.137,341.776,13.598.297,7.852.373,,,,7.852.373,,,,7.852.373,-92.153,1.037.459,8.797.679
"2501","Volkshochschule",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-779.784,,,-864.957,-339.782,-110.354,,-2.094.876,2.328.630,223.081,1.733.618,213.437,500,263.449,4.762.715,2.667.839,,,,2.667.839,,,,2.667.839,-82.849,387.121,2.972.111
"Ansatz 2010",,,-725.088,,,-982.300,-521.823,-200,,-2.229.411,2.291.753,74.864,1.758.766,48.110,,243.500,4.416.992,2.187.581,,,,2.187.581,,,,2.187.581,-60.949,431.939,2.558.571
"Ansatz 2011",,,-725.000,,,-1.095.900,-521.823,-200,,-2.342.923,1.930.703,96.015,1.735.962,35.601,,243.512,4.041.793,1.698.869,,,,1.698.869,,,,1.698.869,-65.249,407.963,2.041.583
"Plan 2012",,,-693.764,,,-1.137.400,-395.961,-200,,-2.227.325,1.901.631,71.911,1.630.135,208.658,,195.970,4.008.305,1.780.979,,,,1.780.979,,,,1.780.979,-81.850,350.877,2.050.006
"Plan 2013",,,-693.529,,,-1.140.900,-395.961,-200,,-2.230.590,1.919.425,105.222,1.630.147,205.156,,196.391,4.056.341,1.825.751,,,,1.825.751,,,,1.825.751,-81.850,355.757,2.099.659
"Plan 2014",,,-693.529,,,-1.144.400,-395.961,-200,,-2.234.090,1.932.711,103.950,1.630.147,205.921,,196.257,4.068.986,1.834.896,,,,1.834.896,,,,1.834.896,-81.850,352.947,2.105.993
"Plan 2015",,,-693.526,,,-1.197.900,-395.961,-200,,-2.287.587,1.821.412,104.277,1.630.166,205.955,,196.264,3.958.073,1.670.487,,,,1.670.487,,,,1.670.487,-81.850,350.876,1.939.513
"2502","Stadtbücherei",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-89.968,,,-268.739,-2.074,-190.872,,-551.653,4.208.476,89.894,1.323.921,359.385,,415.004,6.396.680,5.845.027,,,,5.845.027,,,,5.845.027,-8.184,712.377,6.549.221
"Ansatz 2010",,,-9.778,,,-261.800,-41,-165.800,,-437.418,4.273.339,28.390,1.559.923,169.800,,307.756,6.339.207,5.901.788,-100,,-100,5.901.688,-100,,-100,5.901.588,,736.390,6.637.978
"Ansatz 2011",,,,,,-292.100,-41,-165.800,,-457.941,4.052.628,39.803,1.625.628,138.063,,307.879,6.164.000,5.706.059,-100,,-100,5.705.959,-100,,-100,5.705.859,,714.155,6.420.013
"Plan 2012",,,-27.802,,,-392.100,,-215.812,,-635.714,4.066.927,29.778,1.580.134,353.707,,306.898,6.337.445,5.701.731,-100,,-100,5.701.631,-100,,-100,5.701.531,,640.864,6.342.395
"Plan 2013",,,-27.690,,,-392.100,,-215.812,,-635.602,4.071.627,43.580,1.580.166,353.748,,307.081,6.356.202,5.720.600,-100,,-100,5.720.500,-100,,-100,5.720.400,,648.498,6.368.899
"Plan 2014",,,-26.877,,,-392.100,,-215.806,,-634.783,4.052.439,43.085,1.580.166,352.663,,307.023,6.335.375,5.700.593,-100,,-100,5.700.493,-100,,-100,5.700.393,,643.268,6.343.661
"Plan 2015",,,-24.340,,,-392.100,,-215.800,,-632.240,3.653.535,43.271,1.502.723,353.468,,307.026,5.860.022,5.227.782,-100,,-100,5.227.682,-100,,-100,5.227.582,,631.736,5.859.318
"2503","Förderung der Kultur u. Wissenschaft",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-72.922,,41,-194.123,-183.994,-126.151,,-577.149,846.810,189.371,1.901.913,915.480,20.006.238,288.823,24.148.635,23.571.486,,,,23.571.486,,,,23.571.486,-10.257,1.314.470,24.875.699
"Ansatz 2010",,,-34.500,,,-112.000,-209.922,-5.300,,-361.722,699.044,63.937,802.519,16.194,2.474.550,274.800,4.331.044,3.969.322,,,,3.969.322,-100,,-100,3.969.222,-33.527,226.169,4.161.864
"Ansatz 2011",,,-500,,,-116.500,-209.922,-5.400,,-332.322,674.700,75.724,760.426,1.883,2.133.450,269.800,3.915.983,3.583.661,,,,3.583.661,-100,,-100,3.583.561,-33.334,205.737,3.755.964
"Plan 2012",,,-8.006,,,-36.300,-209.800,-5.300,,-259.406,298.811,33.355,644.085,161.672,2.374.400,275.215,3.787.539,3.528.133,,,,3.528.133,-100,,-100,3.528.033,-29.463,158.481,3.657.050
"Plan 2013",,,-8.007,,,-36.500,-209.800,-5.400,,-259.707,306.596,48.219,639.098,162.439,2.250.400,275.353,3.682.104,3.422.397,,,,3.422.397,-100,,-100,3.422.297,-29.463,157.784,3.550.617
"Plan 2014",,,-7.751,,,-36.300,-209.800,-5.300,,-259.151,301.501,47.118,644.098,163.226,2.374.400,275.307,3.805.649,3.546.498,,,,3.546.498,-100,,-100,3.546.398,-29.463,160.370,3.677.304
"Plan 2015",,,-7.851,,,-36.500,-209.800,-5.400,,-259.551,293.683,46.337,639.085,164.326,2.250.400,275.306,3.669.138,3.409.587,,,,3.409.587,-100,,-100,3.409.487,-29.463,156.534,3.536.558
"2504","Planetarium Bochum",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-29.697,,,-478.844,,-5.039,,-513.580,517.027,,259.373,181.106,,44.568,1.002.074,488.495,,,,488.495,,,,488.495,,57.306,545.801
"Ansatz 2010",,,-24.091,,,-337.200,,-300,,-361.591,506.229,,302.913,431.416,,46.500,1.287.057,925.466,,,,925.466,,,,925.466,,109.531,1.034.997
"Ansatz 2011",,,,,,-436.800,,-300,,-437.100,537.987,,337.877,699,,46.500,923.063,485.963,,,,485.963,,,,485.963,,69.818,555.781
"Plan 2012",,,-23.592,,,-556.400,,-300,,-580.292,476.692,,301.712,174.053,,46.500,998.958,418.666,,,,418.666,,,,418.666,,59.132,477.798
"Plan 2013",,,-23.592,,,-666.000,,-300,,-689.892,482.995,,301.717,174.188,,46.500,1.005.400,315.508,,,,315.508,,,,315.508,,60.305,375.812
"Plan 2014",,,-23.592,,,-775.600,,-300,,-799.492,487.498,,301.717,174.205,,46.500,1.009.920,210.428,,,,210.428,,,,210.428,,59.801,270.229
"Plan 2015",,,-23.382,,,-885.130,,-300,,-908.812,490.299,,301.712,174.130,,46.500,1.012.641,103.829,,,,103.829,,,,103.829,,60.176,164.005
"2505","Stadtarchiv Bochum",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-36.766,,-16.224,-940,-157,-57.655,,-111.742,1.233.414,132.118,495.572,30.332,,1.208.320,3.099.757,2.988.014,,,,2.988.014,,,,2.988.014,-680.457,145.260,2.452.818
"Ansatz 2010",,,-7.629,,-25.000,-500,-102,-100,,-33.330,1.311.266,67.259,503.840,35.910,2.500,1.428.820,3.349.595,3.316.265,,,,3.316.265,-100,,-100,3.316.165,-693.059,201.483,2.824.589
"Ansatz 2011",,,-5.431,,-25.000,-500,-102,-100,,-31.133,1.153.466,77.448,502.506,7.523,2.500,1.428.320,3.171.762,3.140.630,,,,3.140.630,-100,,-100,3.140.530,-644.930,193.352,2.688.952
"Plan 2012",,,-30.147,,-25.000,-500,,-100,,-55.747,1.158.512,57.994,497.570,33.229,,1.435.755,3.183.059,3.127.312,,,,3.127.312,-100,,-100,3.127.212,-642.971,159.235,2.643.477
"Plan 2013",,,-30.146,,-25.000,-500,,-100,,-55.746,1.190.972,84.858,497.602,35.380,,1.436.092,3.244.904,3.189.158,,,,3.189.158,-100,,-100,3.189.058,-657.820,163.205,2.694.443
"Plan 2014",,,-30.096,,-25.000,-500,,-100,,-55.696,1.200.728,83.852,497.602,36.887,,1.435.985,3.255.053,3.199.357,,,,3.199.357,-100,,-100,3.199.257,-659.858,161.723,2.701.123
"Plan 2015",,,-29.982,,-25.000,-500,,-100,,-55.582,1.210.083,84.120,497.570,37.361,,1.435.991,3.265.125,3.209.542,,,,3.209.542,-100,,-100,3.209.442,-656.422,162.872,2.715.892
"2506","Bochumer Symphoniker",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-233.907,,,-814.217,-524,-50.604,,-1.099.251,5.928.595,,1.084.352,34.197,3.165,1.436.762,8.487.070,7.387.819,,,,7.387.819,,,,7.387.819,-5.100,573.863,7.956.583
"Ansatz 2010",,,-120.100,,,-558.200,,-300,,-678.600,6.666.174,,793.039,24.838,,530.200,8.014.251,7.335.651,,,,7.335.651,,,,7.335.651,-5.100,541.429,7.871.979
"Ansatz 2011",,,-120.100,,,-558.200,,-300,,-678.600,6.666.825,,842.246,9.579,,530.200,8.048.851,7.370.251,,,,7.370.251,,,,7.370.251,-5.100,526.229,7.891.380
"Plan 2012",,,-120.100,,,-558.200,,-300,,-678.600,6.643.892,,926.167,24.369,,468.500,8.062.928,7.384.328,,,,7.384.328,,,,7.384.328,-5.100,431.812,7.811.041
"Plan 2013",,,-120.100,,,-558.200,,-300,,-678.600,6.643.928,,926.170,27.252,,468.500,8.065.850,7.387.250,,,,7.387.250,,,,7.387.250,-5.100,440.730,7.822.880
"Plan 2014",,,-120.100,,,-558.200,,-300,,-678.600,6.643.969,,926.170,29.413,,468.500,8.068.052,7.389.452,,,,7.389.452,,,,7.389.452,-5.100,435.000,7.819.351
"Plan 2015",,,-120.100,,,-558.200,,-300,,-678.600,6.643.974,,926.167,32.166,,468.500,8.070.808,7.392.208,,,,7.392.208,,,,7.392.208,-5.100,430.854,7.817.962
"2507","Museum Bochum",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-305.095,,,-60.544,-25.510,-54.630,,-445.779,1.267.940,72.279,1.351.041,276.940,500,298.651,3.267.352,2.821.573,,,,2.821.573,,,,2.821.573,-4.368,276.816,3.094.022
"Ansatz 2010",,,-16.728,,,-66.200,-161,-300,,-83.389,1.235.919,26.194,792.606,9.231,,211.240,2.275.190,2.191.801,,,,2.191.801,,,,2.191.801,-1.833,179.186,2.369.154
"Ansatz 2011",,,-16.959,,,-99.200,-161,-300,,-116.620,1.049.911,35.970,772.637,4.266,,190.240,2.053.025,1.936.404,,,,1.936.404,,,,1.936.404,-1.764,163.590,2.098.230
"Plan 2012",,,-16.725,,,-81.200,-100,-954,,-98.980,1.195.009,26.987,742.433,272.271,,190.255,2.426.955,2.327.975,,,,2.327.975,,,,2.327.975,-1.769,148.817,2.475.023
"Plan 2013",,,-16.953,,,-101.200,-100,-954,,-119.208,1.212.865,39.430,743.449,274.140,,190.400,2.460.284,2.341.077,,,,2.341.077,,,,2.341.077,-1.778,152.388,2.491.687
"Plan 2014",,,-17.184,,,-103.200,-100,-622,,-121.106,1.218.131,38.989,744.049,273.940,,190.354,2.465.463,2.344.356,,,,2.344.356,,,,2.344.356,-1.769,150.824,2.493.411
"Plan 2015",,,-17.418,,,-103.200,-100,-300,,-121.018,1.219.976,39.069,744.033,273.430,,190.357,2.466.864,2.345.846,,,,2.345.846,,,,2.345.846,-1.769,151.606,2.495.683
"2508","Musikschule Bochum",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-491.503,,,-1.947.155,-7.340,-8.838,,-2.454.836,5.868.115,4.733,459.360,331.743,,155.647,6.819.599,4.364.763,-89,,-89,4.364.674,,,,4.364.674,,573.899,4.938.573
"Ansatz 2010",,,-403.030,,,-1.893.200,-6.100,-300,,-2.302.630,5.875.114,3.727,506.783,271.592,,172.125,6.829.341,4.526.711,,,,4.526.711,,,,4.526.711,,683.019,5.209.730
"Ansatz 2011",,,-364.486,,,-2.034.000,-6.100,-300,,-2.404.886,5.691.174,,740.771,164.344,,175.070,6.771.359,4.366.473,,,,4.366.473,,,,4.366.473,,634.805,5.001.278
"Plan 2012",,,-454.730,,,-2.271.100,,-300,,-2.726.130,5.723.674,,550.596,375.006,,184.920,6.834.196,4.108.067,,2.500,2.500,4.110.567,,,,4.110.567,,533.724,4.644.290
"Plan 2013",,,-482.731,,,-2.361.100,,-300,,-2.844.131,5.803.928,,550.596,356.587,,185.420,6.896.531,4.052.400,,2.500,2.500,4.054.900,,,,4.054.900,,544.608,4.599.508
"Plan 2014",,,-487.458,,,-2.451.100,,-300,,-2.938.858,5.866.591,,550.596,365.941,,185.420,6.968.547,4.029.689,,2.500,2.500,4.032.189,,,,4.032.189,,540.027,4.572.217
"Plan 2015",,,-482.159,,,-2.465.100,,-300,,-2.947.559,5.912.998,,530.943,338.088,,185.420,6.967.449,4.019.890,,2.500,2.500,4.022.390,,,,4.022.390,,542.225,4.564.615
"2509","Stabstelle Bochum Ruhr.2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-499.537,,,,-38,-21.256,,-520.831,228.374,43.309,55.332,3.681,775.340,46.232,1.152.269,631.438,,,,631.438,,,,631.438,,38.704,670.142
"Ansatz 2010",,,,,,,-17,,,-17,253.483,13.817,254.396,5.741,1.050.000,3.900,1.581.338,1.581.321,,,,1.581.321,,,,1.581.321,,81.044,1.662.366
"Ansatz 2011",,,-299.750,,,,-21,,,-299.771,194.240,18.724,504.404,226.167,50.000,3.900,997.435,697.664,,,,697.664,,,,697.664,,43.967,741.631
"Plan 2012",,,-261.224,,,,,,,-261.224,195.382,14.026,304.396,509.161,250.000,3.909,1.276.874,1.015.650,,,,1.015.650,,,,1.015.650,,43.228,1.058.878
"Plan 2013",,,-892.209,,,,,,,-892.209,201.942,20.523,304.396,1.564.391,250.000,3.994,2.345.246,1.453.037,,,,1.453.037,,,,1.453.037,,56.661,1.509.698
"Plan 2014",,,-892.209,,,,,,,-892.209,203.254,20.258,304.396,1.625.502,250.000,3.967,2.407.377,1.515.168,,,,1.515.168,,,,1.515.168,,57.667,1.572.835
"Plan 2015",,,-892.209,,,,,,,-892.209,204.949,20.354,304.396,1.625.502,250.000,3.969,2.409.170,1.516.961,,,,1.516.961,,,,1.516.961,,58.160,1.575.121
"2510","Beteiligung AöR Schauspielhaus Bochum",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ansatz 2010",,,,,,-36.000,-53.001,,,-89.001,13.449,727,784.596,223.385,15.921.100,372,16.943.629,16.854.628,,,,16.854.628,,,,16.854.628,,673.653,17.528.281
"Ansatz 2011",,,,,,-36.000,-1,,,-36.001,13.074,759,891.360,82.500,16.221.100,372,17.209.165,17.173.164,,,,17.173.164,,,,17.173.164,,684.089,17.857.252
"Plan 2012",,,-5,,,-36.000,,,,-36.005,6.569,285,862.598,551.571,16.221.100,28.704,17.670.827,17.634.822,,,,17.634.822,,,,17.634.822,,491.331,18.126.153
"Plan 2013",,,-5,,,-36.000,,,,-36.005,6.739,417,862.598,551.571,16.221.100,28.706,17.671.130,17.635.125,,,,17.635.125,,,,17.635.125,,506.009,18.141.134
"Plan 2014",,,-5,,,-36.000,,,,-36.005,6.798,412,862.598,550.186,16.221.100,28.705,17.669.798,17.633.793,,,,17.633.793,,,,17.633.793,,497.840,18.131.634
"Plan 2015",,,-5,,,-36.000,,,,-36.005,6.843,411,862.598,548.803,16.221.100,28.705,17.668.460,17.632.455,,,,17.632.455,,,,17.632.455,,502.927,18.135.382
"3101","Leistungen SGB IX; XII; PFG",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-11.173,-6.609.014,,-117.152,-4.057.673,-960.628,,-11.755.640,8.058.831,2.240.253,485.086,219.413,63.516.598,627.577,75.147.758,63.392.118,,,,63.392.118,-76,145,70,63.392.188,-119.338,3.450.264,66.723.114
"Ansatz 2010",,,-3.323,-6.702.400,-100,-144.800,-3.167.100,-11.300,,-10.029.023,7.836.871,760.294,562.461,8.392,65.144.800,656.334,74.969.151,64.940.128,,,,64.940.128,,,,64.940.128,-192.741,4.724.070,69.471.457
"Ansatz 2011",,,-3.000,-1.845.500,-100,-144.800,-3.437.026,-11.300,,-5.441.726,7.903.859,927.008,546.549,6.226,61.513.060,650.226,71.546.929,66.105.203,,,,66.105.203,,,,66.105.203,-252.026,3.914.524,69.767.702
